,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,Playoffs,Playoffs,Playoffs,Playoffs,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yrs,W,L,W-L%,Chmp,SBwl,Conf,Div
Arizona Cardinals,1920,2026,596,826,41,0.419,Fitzgerald,Hart,Anderson,Fitzgerald,Arians,11,7,10,0.412,2,0,1,8
Chicago Cardinals,1920,1943,99,141,21,0.413,,,,,,0,0,0,,1,0,0,1
Chi/Pit Cards/Steelers,1944,1944,0,10,0,0,,,,,,0,0,0,,0,0,0,0
Chicago Cardinals,1945,1959,66,107,4,0.382,,,,,,2,1,1,,1,0,0,2
St. Louis Cardinals,1960,1987,186,202,14,0.48,,,,,,3,0,3,,0,0,0,2
Phoenix Cardinals,1988,1993,32,64,0,0.333,,,,,,0,0,0,,0,0,0,0
Arizona Cardinals,1994,2026,213,302,2,0.414,,,,,,6,6,6,,0,0,1,3
Atlanta Falcons,1966,2026,406,521,6,0.438,Ryan,Ryan,Riggs,Jones,Smith,14,10,14,0.417,0,0,2,7
Baltimore Ravens,1996,2026,276,208,1,0.57,Lewis,Flacco,Lewis,Andrews,Harbaugh,16,18,14,0.563,2,2,2,8
Buffalo Bills,1960,2026,498,510,8,0.494,Smith,Kelly,Thomas,Reed,Levy,25,22,23,0.489,2,0,4,16
Carolina Panthers,1995,2026,227,273,1,0.454,Newton,Newton,Stewart,Smith,Rivera,9,9,9,0.5,0,0,2,7
Chicago Bears,1920,2026,809,652,42,0.554,Payton,Cutler,Payton,Morris,Halas,28,18,21,0.462,9,1,2,25
Decatur Staleys,1920,1920,10,1,2,0.909,,,,,,0,0,0,,0,0,0,0
Chicago Staleys,1921,1921,9,1,1,0.9,,,,,,0,0,0,,1,0,0,1
Chicago Bears,1922,2026,790,650,39,0.549,,,,,,28,18,21,,8,1,2,24
Cincinnati Bengals,1968,2026,409,490,5,0.455,Munoz,Anderson,Dillon,Johnson,Lewis,16,10,16,0.385,0,0,3,12
Cleveland Browns,1946,2026,567,560,14,0.503,Matthews,Sipe,Brown,Newsome,Brown,30,17,22,0.436,8,0,0,23
Dallas Cowboys,1960,2026,576,432,7,0.571,Smith,Prescott,Smith,Witten,Landry,36,36,31,0.537,5,5,8,26
Denver Broncos,1960,2026,532,475,10,0.528,Elway,Elway,Davis,Smith,Shanahan,24,24,21,0.533,3,3,8,16
Detroit Lions,1930,2026,615,717,34,0.462,Sanders,Stafford,Sanders,Johnson,Fontes,19,9,15,0.375,4,0,0,10
Portsmouth Spartans,1930,1933,28,16,7,0.636,,,,,,0,0,0,,0,0,0,0
Detroit Lions,1934,2026,587,701,27,0.456,,,,,,19,9,15,,4,0,0,10
Green Bay Packers,1921,2026,819,611,39,0.572,Rodgers,Favre,Green,Driver,Lambeau,38,37,28,0.569,13,4,5,31
Houston Texans,2002,2026,174,214,1,0.449,Watt,Schaub,Foster,Johnson,Kubiak,9,7,9,0.438,0,0,0,8
Indianapolis Colts,1953,2026,572,519,8,0.524,Manning,Manning,James,Harrison,Dungy,29,23,25,0.479,4,2,4,21
Baltimore Colts,1953,1983,222,194,7,0.534,,,,,,10,8,7,,3,1,2,10
Indianapolis Colts,1984,2026,350,325,1,0.518,,,,,,19,15,18,,1,1,2,11
Jacksonville Jaguars,1995,2026,215,286,0,0.429,Smith,Brunell,Taylor,Smith,Coughlin,9,8,9,0.471,0,0,0,5
Kansas City Chiefs,1960,2026,553,452,12,0.55,Shields,Mahomes,Charles,Kelce,Reid,27,26,22,0.542,5,4,7,18
Dallas Texans,1960,1962,25,17,0,0.595,,,,,,1,1,0,,1,0,0,1
Kansas City Chiefs,1963,2026,528,435,12,0.548,,,,,,26,25,22,,4,4,7,17
Las Vegas Raiders,1960,2026,512,494,11,0.509,Otto,Carr,Allen,Brown,Madden,23,25,20,0.556,3,3,5,16
Oakland Raiders,1960,1981,195,110,11,0.638,,,,,,11,15,9,,2,2,3,9
Los Angeles Raiders,1982,1994,118,82,0,0.59,,,,,,7,6,6,,1,1,1,4
Oakland Raiders,1995,2019,160,240,0,0.4,,,,,,4,4,4,,0,0,1,3
Las Vegas Raiders,2020,2026,39,62,0,0.386,,,,,,1,0,1,,,0,,0
Los Angeles Chargers,1960,2026,505,501,11,0.502,Rivers,Rivers,Tomlinson,Gates,Gillman,22,12,21,0.364,1,0,1,15
Los Angeles Chargers,1960,1960,10,4,0,0.714,,,,,,1,0,1,,0,0,0,1
San Diego Chargers,1961,2016,416,427,11,0.493,,,,,,17,11,16,,1,0,1,14
Los Angeles Chargers,2017,2026,79,70,0,0.53,,,,,,4,1,4,,0,0,,0
Los Angeles Rams,1937,2026,636,611,21,0.51,Olsen,Everett,Jackson,Bruce,McVay,34,29,30,0.492,4,2,5,22
Cleveland Rams,1937,1945,34,50,2,0.405,,,,,,1,1,0,,1,0,0,1
Los Angeles Rams,1946,1994,364,299,18,0.549,,,,,,21,12,20,,1,0,1,14
St. Louis Rams,1995,2015,142,193,1,0.424,,,,,,5,6,4,,1,1,2,3
Los Angeles Rams,2016,2026,96,69,0,0.582,,,,,,7,10,6,,1,1,2,4
Miami Dolphins,1966,2026,511,418,4,0.55,Marino,Marino,Csonka,Duper,Shula,25,20,23,0.465,2,2,5,14
Minnesota Vikings,1961,2026,546,446,11,0.55,Eller,Tarkenton,Peterson,Carter,Grant,32,21,32,0.396,0,0,4,21
New England Patriots,1960,2026,559,449,9,0.555,Brady,Brady,Cunningham,Morgan,Belichick,29,40,23,0.635,6,6,12,23
Boston Patriots,1960,1970,65,80,9,0.448,,,,,,1,1,1,,0,0,0,1
New England Patriots,1971,2026,494,369,0,0.572,,,,,,28,39,22,,6,6,12,22
New Orleans Saints,1967,2026,423,491,5,0.463,Brees,Brees,Kamara,Colston,Payton,14,10,13,0.435,1,1,1,9
New York Giants,1925,2026,728,676,34,0.518,Taylor,Manning,Barber,Toomer,Owen,33,25,26,0.49,8,4,5,25
New York Jets,1960,2026,436,573,8,0.432,Maynard,Namath,Martin,Maynard,Ewbank,14,12,13,0.48,1,1,1,4
New York Titans,1960,1962,19,23,0,0.452,,,,,,0,0,0,,0,0,0,0
New York Jets,1963,2026,417,550,8,0.431,,,,,,14,12,13,,1,1,1,4
Philadelphia Eagles,1933,2026,649,645,27,0.502,Kelce,McNabb,McCoy,Carmichael,Reid,32,29,27,0.518,5,2,5,18
Philadelphia Eagles,1933,1942,23,82,4,0.219,,,,,,0,0,0,,0,0,0,0
Phi/Pit Eagles/Steelers,1943,1943,5,4,1,0.556,,,,,,0,0,0,,0,0,0,0
Philadelphia Eagles,1944,2026,621,559,22,0.526,,,,,,32,29,27,,5,2,5,18
Pittsburgh Steelers,1933,2026,691,592,22,0.538,Roethlisberger,Roethlisberger,Harris,Ward,Noll,36,36,30,0.545,6,6,8,26
Pittsburgh Pirates,1933,1939,22,55,3,0.286,,,,,,0,0,0,,0,0,0,0
Pittsburgh Steelers,1940,1942,10,20,3,0.333,,,,,,0,0,0,,0,0,0,0
Phi/Pit Eagles/Steelers*,1943,1943,5,4,1,0.556,,,,,,0,0,0,,,,,0
Chi/Pit Cards/Steelers*,1944,1944,0,10,0,0,,,,,,0,0,0,,,,,0
Pittsburgh Steelers,1945,2026,659,517,16,0.56,,,,,,36,36,30,,6,6,8,26
San Francisco 49ers,1946,2026,642,531,16,0.547,Rice,Montana,Gore,Rice,Seifert,31,40,26,0.606,5,5,8,23
Seattle Seahawks,1976,2026,416,376,1,0.525,Wilson,Wilson,Alexander,Largent,Carroll,21,20,19,0.513,2,2,4,12
Tampa Bay Buccaneers,1976,2026,326,466,1,0.412,Brooks,Winston,Wilder,Evans,Gruden,15,12,13,0.48,2,2,2,10
Tennessee Titans,1960,2026,482,529,6,0.477,Matthews,Moon,George,Givins,Fisher,25,17,23,0.425,2,0,1,11
Houston Oilers,1960,1996,251,291,6,0.463,,,,,,15,9,13,,2,0,0,6
Tennessee Oilers,1997,1998,16,16,0,0.5,,,,,,0,0,0,,0,0,0,0
Tennessee Titans,1999,2026,215,222,0,0.492,,,,,,10,8,10,,0,0,1,5
Washington Commanders,1932,2026,646,660,29,0.495,Green,Theismann,Riggins,Monk,Gibbs,26,25,21,0.543,5,3,5,16
Boston Braves,1932,1932,4,4,2,0.5,,,,,,0,0,0,,0,0,0,0
Boston Redskins,1933,1936,20,24,3,0.455,,,,,,1,0,1,,0,0,0,1
Washington Redskins,1937,2019,579,575,23,0.502,,,,,,23,23,18,,5,3,5,14
Washington Football Team,2020,2021,14,19,0,0.424,,,,,,1,0,1,,,0,,1
Washington Commanders,2022,2026,29,38,1,0.434,,,,,,1,2,1,,,,,0